umbral,accuracy,precision,recall,f1,pr_auc,roc_auc,TN,FP,FN,TP,alertas,costo_unidades,modelo
0.6900000000000001,0.9722416608350828,0.8478260869565217,0.2582781456953642,0.39593908629441626,0.36980015276995626,0.7656195959880616,4129,7,112,39,46,1127,MLP regularizada
0.6950000000000001,0.9722416608350828,0.8478260869565217,0.2582781456953642,0.39593908629441626,0.36980015276995626,0.7656195959880616,4129,7,112,39,46,1127,MLP regularizada
0.7000000000000001,0.9722416608350828,0.8478260869565217,0.2582781456953642,0.39593908629441626,0.36980015276995626,0.7656195959880616,4129,7,112,39,46,1127,MLP regularizada
0.7050000000000001,0.9720083974807557,0.8444444444444444,0.25165562913907286,0.3877551020408163,0.36980015276995626,0.7656195959880616,4129,7,113,38,45,1137,MLP regularizada
0.7100000000000001,0.9720083974807557,0.8444444444444444,0.25165562913907286,0.3877551020408163,0.36980015276995626,0.7656195959880616,4129,7,113,38,45,1137,MLP regularizada
0.7150000000000001,0.9720083974807557,0.8444444444444444,0.25165562913907286,0.3877551020408163,0.36980015276995626,0.7656195959880616,4129,7,113,38,45,1137,MLP regularizada
0.7200000000000001,0.9720083974807557,0.8604651162790697,0.24503311258278146,0.38144329896907214,0.36980015276995626,0.7656195959880616,4130,6,114,37,43,1146,MLP regularizada
0.725,0.9715418707721017,0.8717948717948718,0.2251655629139073,0.35789473684210527,0.36980015276995626,0.7656195959880616,4131,5,117,34,39,1175,MLP regularizada
0.73,0.9710753440634476,0.8648648648648649,0.2119205298013245,0.3404255319148936,0.36980015276995626,0.7656195959880616,4131,5,119,32,37,1195,MLP regularizada
0.735,0.9710753440634476,0.8648648648648649,0.2119205298013245,0.3404255319148936,0.36980015276995626,0.7656195959880616,4131,5,119,32,37,1195,MLP regularizada
0.74,0.9708420807091206,0.8611111111111112,0.2052980132450331,0.3315508021390374,0.36980015276995626,0.7656195959880616,4131,5,120,31,36,1205,MLP regularizada
0.745,0.9703755540004665,0.8529411764705882,0.19205298013245034,0.31351351351351353,0.36980015276995626,0.7656195959880616,4131,5,122,29,34,1225,MLP regularizada
0.75,0.9699090272918125,0.84375,0.17880794701986755,0.29508196721311475,0.36980015276995626,0.7656195959880616,4131,5,124,27,32,1245,MLP regularizada
0.755,0.9696757639374854,0.8620689655172413,0.16556291390728478,0.2777777777777778,0.36980015276995626,0.7656195959880616,4132,4,126,25,29,1264,MLP regularizada
0.76,0.9694425005831584,0.8571428571428571,0.15894039735099338,0.2681564245810056,0.36980015276995626,0.7656195959880616,4132,4,127,24,28,1274,MLP regularizada
0.765,0.9689759738745043,0.8461538461538461,0.1456953642384106,0.24858757062146894,0.36980015276995626,0.7656195959880616,4132,4,129,22,26,1294,MLP regularizada
0.77,0.9687427105201772,0.84,0.1390728476821192,0.23863636363636365,0.36980015276995626,0.7656195959880616,4132,4,130,21,25,1304,MLP regularizada
0.775,0.9680429204571962,0.85,0.11258278145695365,0.19883040935672514,0.36980015276995626,0.7656195959880616,4133,3,134,17,20,1343,MLP regularizada
0.78,0.9675763937485421,0.8333333333333334,0.09933774834437085,0.17751479289940827,0.36980015276995626,0.7656195959880616,4133,3,136,15,18,1363,MLP regularizada
0.785,0.9675763937485421,0.875,0.09271523178807947,0.16766467065868262,0.36980015276995626,0.7656195959880616,4134,2,137,14,16,1372,MLP regularizada
0.79,0.967109867039888,0.8571428571428571,0.07947019867549669,0.14545454545454545,0.36980015276995626,0.7656195959880616,4134,2,139,12,14,1392,MLP regularizada
